corridor_name,avg_product_price,avg_delivery_price,avg_final_total_est,avg_eta_value_min,product_count
Cajota Familiar - Turbo,87400.0,0.0,87400.0,20.0,6
Signature Collection -Turbo,41311.11111111111,0.0,41311.11111111111,20.0,18
McCombo Turbo,38545.71428571428,0.0,38545.71428571428,20.0,35
McNuggets y Pollo Turbo,36988.88888888889,0.0,36988.88888888889,20.0,9
Ensaladas - Turbo,34633.333333333336,0.0,34633.333333333336,20.0,6
Imperdibles Turbo,33633.333333333336,0.0,33633.333333333336,20.0,12
Hamburguesas - Turbo,27740.0,0.0,27740.0,20.0,20
Cajita Feliz - Turbo,25500.0,0.0,25500.0,20.0,5
Postres -Turbo,12500.0,0.0,12500.0,20.0,6
Para acompañar - Turbo,10500.0,0.0,10500.0,20.0,3
McCafé -Turbo,9333.333333333334,0.0,9333.333333333334,20.0,12
Bebidas - Turbo,8928.57142857143,0.0,8928.57142857143,20.0,7
